ID,Name,Level,Rating,Tags,link
scp-160,Predator Drone,Euclid,223,"['airborne', 'autonomous', 'mechanical', 'predatory']",https://scp-wiki.wikidot.com/scp-160
scp-161,Pinwheel of Doom!,Euclid,235,"['compulsion', 'factory', 'mind-affecting', 'toy']",https://scp-wiki.wikidot.com/scp-161
scp-162,Ball of Sharp,Euclid,588,"['artifact', 'cognitohazard', 'compulsion', 'tactile']",https://scp-wiki.wikidot.com/scp-162
scp-163,An Old Castaway,Safe,698,"['alive', 'sapient']",https://scp-wiki.wikidot.com/scp-163
scp-164,Squid Tumors,Euclid,180,"['alive', 'biohazard', 'cephalopod', 'contagion', 'parasitic', 'species', 'transfiguration']",https://scp-wiki.wikidot.com/scp-164
scp-165,"The Creeping, Hungry Sands of Tule",Keter,477,"['alive', 'arachnid', 'featured', 'predatory', 'species', 'swarm', 'toxic']",https://scp-wiki.wikidot.com/scp-165
scp-166,Just a Teenage Gaea,Euclid,631,"['alive', 'deer', 'doctor-clef', 'doctor-light', 'global-occult-coalition', 'humanoid', 'light', 'plant', 'religious', 'rewrite', 'sapient', 'transfiguration']",https://scp-wiki.wikidot.com/scp-166
scp-167,Infinite Labyrinth,Safe,229,"['polyhedral', 'portal', 'spatial', 'structure']",https://scp-wiki.wikidot.com/scp-167
scp-168,Sentient Calculator,Safe,740,"['electronic', 'eric', 'sapient', 'tool']",https://scp-wiki.wikidot.com/scp-168
scp-169,The Leviathan,Keter,1003,"['alive', 'aquatic', 'arthropod', 'uncontained']",https://scp-wiki.wikidot.com/scp-169
scp-170,A Tube of Superglue,Safe,311,"['chemical', 'liquid', 'transfiguration']",https://scp-wiki.wikidot.com/scp-170
scp-171,Collective Brain Foam,Euclid,263,"['biological', 'hive-mind', 'sapient']",https://scp-wiki.wikidot.com/scp-171
scp-172,The Gearman,Euclid,376,"['clockwork', 'humanoid', 'sapient']",https://scp-wiki.wikidot.com/scp-172
scp-173,The Sculpture,Euclid,8649,"['autonomous', 'ectoentropic', 'entropic', 'featured', 'hostile', 'observational', 'sculpture', 'the-sculpture']",https://scp-wiki.wikidot.com/scp-173
scp-174,Ventriloquist's Dummy,Euclid,207,"['compulsion', 'mind-affecting', 'performance', 'tool']",https://scp-wiki.wikidot.com/scp-174
scp-175,Treasure Map,Safe,251,"['document', 'meta', 'metamorphic', 'telepathic']",https://scp-wiki.wikidot.com/scp-175
scp-176,Observable Time Loop,Euclid,741,"['building', 'loop', 'temporal']",https://scp-wiki.wikidot.com/scp-176
scp-177,Checkmate,Safe,297,"['autonomous', 'game', 'rewrite', 'toy']",https://scp-wiki.wikidot.com/scp-177
scp-178,"""3-D"" Specs",Euclid,640,"['humanoid', 'intangible', 'visual']",https://scp-wiki.wikidot.com/scp-178
scp-179,Sauelsuesor,Thaumiel,1145,"['electromagnetic', 'humanoid', 'k-class-scenario', 'magnetic', 'predictive', 'sapient', 'sauelsuesor', 'sun', 'transmission']",https://scp-wiki.wikidot.com/scp-179
scp-180,Identity Thieving Hat,Euclid,162,"['meta', 'metamorphic', 'sensory', 'tactile', 'visual']",https://scp-wiki.wikidot.com/scp-180
scp-181,"""Lucky""",Safe,259,"['alive', 'humanoid', 'probability', 'rewrite', 'sapient']",https://scp-wiki.wikidot.com/scp-181
